-3.16, 8.13, 8.58, 0.45, -0.07, 1.40, 0.52, 0.01, -0.19, 15.16, 14.92, 6.21, -0.31, -0.05, 0.94, 0.50, -0.18, -0.25, 10.81, 4.42, -22.80, -0.43, -0.45, 0.75, -0.30, 0.50, -0.27, 3.66, 12.56, 12.67, 0.34, -0.11, 0.91, 0.23, 0.20, -0.24, 6.30, 23.52, 9.32, 0.65, -0.12, 1.01, 0.81, 0.07, 0.31, -10.71, 10.51, 14.16, 0.30, -0.31, 0.68, 0.38, 0.22, -0.16
9.32, 6.70, 15.78, 0.30, -0.13, 1.27, 0.52, 0.00, -0.19, 21.05, 14.21, 1.69, -0.28, -0.09, 0.72, 0.50, -0.18, -0.24, 26.96, 10.04, -36.27, -0.28, -0.46, 0.68, -0.30, 0.50, -0.27, 10.72, 0.31, -4.90, 0.27, -0.18, 0.78, 0.23, 0.20, -0.23, 37.08, 27.07, -15.64, 0.62, -0.21, 0.98, 0.81, 0.07, 0.31, -4.50, 16.12, 7.60, 0.32, -0.36, 0.66, 0.38, 0.21, -0.16
12.02, 14.30, 5.80, 0.39, -0.17, 1.26, 0.52, 0.01, -0.19, 15.87, 7.88, -5.41, -0.29, -0.13, 0.79, 0.50, -0.18, -0.24, 17.18, 9.60, -11.99, -0.23, -0.54, 0.77, -0.30, 0.51, -0.28, 11.87, 9.92, -1.43, 0.29, -0.28, 0.80, 0.24, 0.20, -0.23, 13.55, 16.60, -10.34, 0.63, -0.40, 1.03, 0.81, 0.08, 0.32, 20.37, 12.28, -6.12, 0.36, -0.50, 0.68, 0.38, 0.21, -0.16
20.75, 5.42, -14.63, 0.38, -0.30, 1.28, 0.52, 0.01, -0.19, 29.04, 4.20, -2.77, -0.31, -0.23, 0.84, 0.50, -0.18, -0.24, 22.70, 24.03, 12.36, -0.24, -0.63, 0.82, -0.31, 0.52, -0.28, 20.80, 20.45, -11.04, 0.42, -0.32, 0.97, 0.23, 0.20, -0.22, 23.28, 17.86, -39.62, 0.84, -0.39, 1.06, 0.81, 0.08, 0.32, 26.14, 8.40, -13.45, 0.45, -0.57, 0.81, 0.38, 0.21, -0.15
18.69, 8.75, -13.80, 0.61, -0.35, 1.54, 0.52, 0.02, -0.19, 26.61, 2.24, -2.69, -0.39, -0.32, 1.16, 0.50, -0.17, -0.23, 29.18, 18.83, -3.24, -0.33, -0.70, 0.92, -0.31, 0.53, -0.27, 3.46, 10.25, -3.04, 0.53, -0.40, 1.21, 0.24, 0.21, -0.23, 14.68, 13.10, -14.93, 0.94, -0.50, 1.14, 0.81, 0.09, 0.33, 1.05, 14.21, 2.01, 0.48, -0.68, 0.87, 0.38, 0.23, -0.16
2.42, 10.78, 0.54, 0.64, -0.40, 1.60, 0.52, 0.03, -0.18, -1.08, 14.47, -11.96, -0.41, -0.33, 1.20, 0.51, -0.17, -0.23, 22.26, 1.83, -30.45, -0.33, -0.79, 0.96, -0.31, 0.54, -0.28, -15.81, 3.32, -0.04, 0.53, -0.43, 1.16, 0.24, 0.21, -0.22, 12.42, 13.62, 9.54, 0.91, -0.55, 1.10, 0.81, 0.09, 0.33, -22.54, 13.03, 13.87, 0.53, -0.71, 0.86, 0.38, 0.21, -0.15
-6.71, 0.22, 16.07, 0.64, -0.48, 1.55, 0.52, 0.02, -0.18, -18.87, 10.92, -24.56, -0.39, -0.40, 1.26, 0.51, -0.17, -0.22, 17.61, -13.26, -44.12, -0.26, -0.81, 0.96, -0.31, 0.54, -0.27, -46.09, 8.12, 12.72, 0.71, -0.54, 1.53, 0.24, 0.21, -0.22, 19.44, 17.63, 12.96, 1.06, -0.53, 1.05, 0.81, 0.09, 0.33, -52.20, 12.06, 34.03, 0.56, -0.78, 1.01, 0.39, 0.20, -0.14
-28.20, 13.77, 32.08, 0.77, -0.50, 1.78, 0.53, 0.02, -0.17, -124.32, 70.81, -37.02, -0.58, -0.39, 1.78, 0.51, -0.19, -0.22, 24.26, -29.99, -102.07, -0.65, -0.89, 1.05, -0.32, 0.53, -0.26, -195.15, 69.23, 90.11, 0.85, -0.61, 1.77, 0.25, 0.17, -0.19, 73.84, 35.11, 80.19, 1.40, -0.77, 1.07, 0.80, 0.08, 0.34, -163.08, 51.75, 96.38, 0.68, -0.78, 1.01, 0.40, 0.17, -0.14
-12.79, 10.25, 79.22, 0.87, -0.56, 1.70, 0.52, 0.01, -0.17, -194.73, 85.71, -62.69, -0.54, -0.39, 1.41, 0.54, -0.22, -0.19, 0.92, -41.24, -201.05, -0.61, -0.97, 1.02, -0.32, 0.51, -0.25, -245.00, 62.11, 128.92, 0.76, -0.39, 1.14, 0.25, 0.11, -0.14, 112.83, -3.87, 146.76, 1.14, -0.74, 0.80, 0.80, 0.03, 0.34, -196.63, 36.55, 110.90, 0.63, -0.53, 0.93, 0.40, 0.11, -0.11
48.73, -3.35, 73.84, 0.59, -0.59, 1.23, 0.51, -0.01, -0.17, -241.16, 122.60, -83.56, -0.32, -0.11, 0.96, 0.58, -0.28, -0.16, -20.40, -15.45, -222.31, -0.54, -0.90, 0.97, -0.31, 0.48, -0.25, -210.97, 83.89, 104.45, 0.32, 0.01, 0.68, 0.24, 0.07, -0.09, 244.96, 18.71, 225.78, 1.23, 0.05, 1.11, 0.78, 0.01, 0.32, -197.66, 42.39, 88.84, 0.54, -0.11, 0.65, 0.40, 0.07, -0.07
15.16, 43.20, 81.44, 0.61, -0.46, 1.15, 0.51, -0.01, -0.17, -183.49, 135.64, -84.47, 0.02, 0.15, 0.77, 0.62, -0.31, -0.11, -10.33, 29.32, -190.87, -0.54, -0.46, 0.63, -0.29, 0.44, -0.25, -135.10, 95.74, 98.77, 0.46, 0.24, 0.41, 0.24, 0.03, -0.01, 137.08, -98.09, 132.27, 0.89, -0.32, 0.72, 0.77, -0.02, 0.26, -164.27, 59.60, 106.67, 0.55, 0.09, 0.53, 0.39, 0.02, -0.04
50.72, -22.54, 90.94, 0.43, -0.34, 1.15, 0.52, -0.03, -0.16, -150.58, 80.03, -39.69, 0.16, 0.34, 0.42, 0.66, -0.33, -0.05, -0.95, 15.79, -170.05, -0.31, -0.14, 0.49, -0.27, 0.43, -0.26, -82.34, -95.28, 82.66, 1.19, 0.32, 0.27, 0.21, 0.02, 0.02, 152.66, -98.50, 72.95, 0.61, -0.23, 0.74, 0.75, -0.03, 0.24, -112.88, -22.42, 67.59, 0.84, 0.44, 0.51, 0.38, 0.00, 0.01
60.60, -188.24, 87.56, 0.48, -0.38, 0.98, 0.50, -0.04, -0.16, -129.72, 26.48, -28.43, 0.26, 0.52, 0.52, 0.67, -0.34, -0.01, 10.56, -16.40, -133.78, -0.79, -0.10, 0.72, -0.25, 0.41, -0.26, -37.23, 38.61, 84.15, 0.61, 0.54, 0.58, 0.19, 0.02, 0.01, 184.89, -136.91, 41.15, 1.04, -0.45, 0.73, 0.73, -0.02, 0.21, -122.87, -18.76, 98.80, 0.34, 0.42, 0.35, 0.37, -0.06, 0.03
115.97, -84.92, 78.69, 0.82, -0.38, 1.38, 0.49, -0.05, -0.17, -87.40, 40.96, -17.86, 0.33, 0.63, 0.23, 0.67, -0.34, 0.01, -4.67, -38.16, -158.35, -0.50, 0.24, 0.41, -0.25, 0.40, -0.26, -118.93, 183.45, 90.73, 0.18, 0.67, 0.21, 0.18, 0.00, 0.05, 46.65, -130.19, 6.80, 0.21, -0.19, 0.91, 0.70, -0.00, 0.16, -144.94, -37.44, 51.02, 0.29, 0.76, 0.25, 0.36, -0.06, 0.05
78.93, -41.74, 26.35, -0.11, 0.10, 1.12, 0.47, -0.04, -0.23, -79.57, -15.57, -39.60, 0.11, 0.87, -0.03, 0.68, -0.34, 0.04, 38.51, -22.00, -94.18, -0.63, 0.03, 0.73, -0.24, 0.39, -0.26, -34.03, -153.88, 32.64, 0.11, 0.70, 0.25, 0.16, -0.00, 0.06, 12.46, -62.95, 16.96, 0.55, -0.08, 1.13, 0.69, 0.01, 0.14, -37.35, -30.92, 26.84, 0.21, 0.64, 0.25, 0.35, -0.06, 0.07
106.71, -35.50, 49.09, 0.38, -0.09, 1.25, 0.46, -0.02, -0.24, -40.40, 32.01, -22.51, 0.38, 0.71, 0.19, 0.69, -0.34, 0.04, 7.46, 2.72, -95.31, -0.57, 0.30, 0.47, -0.23, 0.39, -0.26, -72.29, 99.36, 36.20, 0.19, 0.84, 0.15, 0.16, -0.00, 0.07, -4.92, -76.33, 4.40, 0.30, -0.21, 1.08, 0.67, 0.00, 0.12, -92.58, 17.45, 34.92, 0.25, 0.90, 0.25, 0.35, -0.06, 0.08
83.87, -34.16, 7.87, 0.15, -0.21, 1.41, 0.45, -0.01, -0.25, -29.41, 24.13, -0.29, 0.24, 0.88, 0.05, 0.69, -0.34, 0.06, -2.62, -17.29, -44.02, -0.66, 0.27, 0.52, -0.22, 0.40, -0.27, -38.48, -73.51, 18.20, 0.02, 0.85, 0.21, 0.15, -0.01, 0.09, 3.16, -30.76, 5.97, 0.44, -0.19, 1.15, 0.66, 0.01, 0.12, 5.82, -7.32, 7.66, 0.27, 0.74, 0.26, 0.33, -0.07, 0.10
18.25, -11.20, -2.48, 0.29, -0.27, 1.28, 0.45, 0.00, -0.26, -25.02, 4.87, -26.68, 0.27, 0.86, 0.09, 0.69, -0.34, 0.07, -1.79, 2.76, -26.66, -0.57, 0.35, 0.56, -0.22, 0.39, -0.26, -29.53, 7.80, 18.37, 0.13, 0.90, 0.08, 0.15, 0.00, 0.09, -10.83, -12.78, -3.76, 0.43, -0.25, 1.16, 0.65, 0.00, 0.12, -29.23, -1.82, -0.37, 0.26, 0.88, 0.23, 0.33, -0.07, 0.10
1.72, -5.43, -28.64, 0.22, -0.10, 1.26, 0.45, 0.01, -0.27, 1.56, -0.78, -19.56, 0.25, 0.91, 0.07, 0.70, -0.33, 0.07, 8.41, -6.04, -6.88, -0.66, 0.26, 0.59, -0.22, 0.39, -0.26, -2.53, -19.84, -6.47, -0.06, 0.94, 0.09, 0.14, -0.00, 0.09, 1.67, -1.13, 4.69, 0.45, -0.12, 1.07, 0.64, 0.01, 0.11, 24.61, 0.01, -15.19, 0.27, 0.79, 0.30, 0.33, -0.07, 0.10
35.14, 33.53, 12.61, 0.38, -0.22, 1.22, 0.45, 0.01, -0.26, 17.07, -12.65, -25.98, 0.16, 0.85, 0.32, 0.70, -0.33, 0.07, -24.71, 2.25, 36.53, -0.65, 0.13, 0.69, -0.22, 0.39, -0.26, 5.88, -2.50, -14.41, 0.17, 0.86, 0.30, 0.15, -0.00, 0.09, 35.31, -3.81, 17.51, 0.64, -0.25, 1.09, 0.65, 0.01, 0.11, 6.62, 31.30, -6.41, 0.37, 0.74, 0.36, 0.33, -0.06, 0.10
